name	latitude	longitude	icon	vicinity
Kairu & Mc Court Advocates	-1.2851005	36.8221914	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	6th Floor, City House, Wabera St, Nairobi
Waruhiu K'Owade & Ng'ang'a Advocates.	-1.3001375	36.8200779	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Upper Hill Rd, Nairobi
MKK Advocates	-1.2617325	36.7959327	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	B7, 3rd Floor, Block B, Haven Court, A104 Waiyaki Way, Nairobi
A.N Ndambiri & Co. Advocates ( Commissioner for Oaths)	-1.265143	36.803437	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Waumini House, Nairobi
George N. Kimani & Co Advocates	-0.718431	36.4360835	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Naivasha
Mboga G.G & Co Advocates	-0.7169438	36.432319	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Naivasha
J. Thuita & Co. Advocates	-0.7173072	36.435767	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Naivasha
Konosi & Co. Advocates	-0.2850238	36.0672489	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nakuru
Wachira Wanjiru & Co. Advocates	-0.284743	36.068752	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kenyatta Avenue, Belpar House,, 1st Floor. Room 26 Court Road, 4392-20100, Nakuru
MNB Ochieng Advocate	-0.2855817	36.0571852	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nakuru
Imali Gembe & Advocates	-0.2846375	36.0672194	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nakuru
AM Kabuki & Associates	-0.2824784	36.0749254	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nakuru
Bundi and Associates	-0.2851901	36.0760975	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nakuru
A.M Murindi Advocate	-0.2867632	36.0682641	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Government Rd, Nakuru
Obura Mbecho & Co Advocates	-0.2847824	36.0682145	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nakuru
Makori Nyang'au Advocate	-0.2847502	36.0672489	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nakuru
Nanyuki Law Courts	0.0110238	37.0774332	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	DC's Compound, Nanyuki - Nyeri Highway/ Nyeri - Meru Highway, Nanyuki
Gathii Irungu & Co Advocates	-1.150521	36.950396	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Ruiru Kamiti Road, Ruiru
P.K Njoroge & Co. Advocates	-1.1476512	36.9611997	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Room no.128, 2nd Floor, C.K Business Center, Ruiru Kamiti Road, Ruiru, Nairobi, Nairobi Province
Gathecha Wakiiru & Co. Advocates	-1.148486	36.960771	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Ruiru Kamiti Road, Ruiru
Mburu Machua & Co Advocates	-1.15049	36.95042	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Road, Nairobi
L. W. Wang'ombe & Co. Advocates	-1.147254	36.960891	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	5th Avenue Office Suite, Nairobi
Muturi Njoroge & Co. Advocates	-1.0362156	37.0756662	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Shop A8, 1st Floor, Protoco Place, Next To Housing Finance, Uhuru St, Thika
J. M Mutinda Advocates	-1.036165	37.0756692	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Shop No. A 13, 1st Floor, Protoco Place, Uhuru St, Thika 
